PLOT,RCP,LIFE_FORMfloating,LIFE_FORMsubmersed,POLLINATIONentomophily,POLLINATIONepihydrophily,POLLINATIONhypohydrophily,FUNCTIONAL_DIVERSITY,ALPHA_DIVERSITY
31002212,1,0.5,0.5,0.5,0.25,0.25,2.212696539,4
31002213,1,0.6,0.2,0.4,0.4,0,2.170143651,5
31002214,2,0.166666667,0.833333333,0.166666667,0.5,0.166666667,1.70025286,6
31002215,1,0.25,0.75,0.25,0,0.75,1.489146679,4
31002216,1,0,1,0,0.75,0.25,0.872765003,4
31002221,1,0,1,0,0.5,0.25,1.16368667,4
31002224,1,0,1,0,1,0,0,1
31002229,1,0.142857143,0,0.571428571,0,0,1.327801591,7
31002232,2,0.142857143,0.642857143,0.285714286,0.214285714,0.142857143,1.776897684,14
31002233,2,0.181818182,0.636363636,0.272727273,0.090909091,0.181818182,1.66154532,11
31002235,1,0,1,0,0.333333333,0,1.034388151,3
31002236,2,0.166666667,0.833333333,0.166666667,0.166666667,0.166666667,1.408285669,6
31002238,1,0.222222222,0.555555556,0.222222222,0.222222222,0.333333333,1.864190954,9
31002239,1,0,1,0,1,0,0,1
31002241,2,0.090909091,0.818181818,0,0.454545455,0.181818182,1.476175618,11
31002242,2,0.333333333,0.666666667,0.333333333,0.111111111,0.222222222,1.908830133,9
31002243,1,0,1,0,0.5,0.5,1.16368667,2
31002245,2,0.285714286,0.714285714,0.285714286,0.285714286,0.285714286,1.971055352,7
31002246,2,0.5,0.5,0.375,0.375,0.125,2.26404257,8
31002248,1,0.285714286,0.428571429,0.571428571,0.142857143,0,2.011230618,7
31002249,2,0.25,0.5,0.416666667,0.083333333,0.166666667,1.902458996,12
31002250,2,0.333333333,0.666666667,0.333333333,0.166666667,0.166666667,1.972909789,6
31002251,1,1,0,1,0,0,0,1
31002252,2,0.2,0.8,0.2,0.6,0.2,1.749556733,5
31002254,1,1,0,1,0,0,0,1
31002255,1,0.5,0.5,0.5,0.5,0,2.301410807,2
31002256,2,0.333333333,0.666666667,0.222222222,0.222222222,0.111111111,1.927746906,9
31002257,2,0.333333333,0.666666667,0.333333333,0.166666667,0.166666667,1.972909789,6
31002258,2,0.166666667,0.666666667,0.083333333,0.333333333,0.166666667,1.70750371,12
31002259,2,0,1,0,0.333333333,0.333333333,1.034388151,3
31002611,2,0,1,0,0.75,0.25,0.872765003,4
31002612,1,0,1,0,1,0,2.24E-16,2
31002622,1,0,1,0,1,0,0,1
31002626,1,0.25,0.75,0,0.5,0.5,1.768894015,4
31002631,1,0.2,0.8,0,0.4,0.4,1.603479624,5
31002633,1,0,1,0,1,0,0,1
31002650,1,0,1,0,0,1,0,1
31002657,1,0.5,0.5,0.5,0,0.5,1.985528906,2
31002663,1,0,1,0,1,0,0,1
31002664,1,0.2,0.8,0,0.6,0.4,1.64688687,5
31002863,1,0,1,0,1,0,0,1
31002865,2,0.5,0.5,0.5,0.25,0.25,2.212696539,4
31002866,1,0.5,0.5,0.5,0,0.5,1.985528906,2
31002868,1,0,1,0,1,0,0,1
31002870,2,0.333333333,0.666666667,0.333333333,0.333333333,0.333333333,2.110824181,3
31002871,2,0.333333333,0.666666667,0.333333333,0.333333333,0.333333333,2.110824181,3
31002872,1,0,1,0,0.4,0.4,1.117139204,5
31002873,2,0,1,0,0.333333333,0.666666667,1.034388151,3
31002874,1,0,1,0,0,1,0,1
31002876,1,1,0,1,0,0,0,1
31002877,1,0,1,0,0.666666667,0.333333333,1.034388151,3
31002879,2,0.272727273,0.545454545,0.272727273,0.363636364,0.090909091,2.079577765,11
31002880,2,0.125,0.75,0.25,0.25,0.25,1.667691948,8
31002881,2,0.333333333,0.666666667,0.333333333,0.166666667,0.333333333,1.972909789,6
31002882,2,0.428571429,0.571428571,0.285714286,0.285714286,0.142857143,2.149485045,7
31002883,2,0.375,0.625,0.25,0.375,0.125,2.125993949,8
31002884,2,0.166666667,0.833333333,0.166666667,0.333333333,0.333333333,1.638644961,6
31002886,2,0.222222222,0.666666667,0.222222222,0.444444444,0.222222222,1.96484365,9
31002887,1,0.25,0.75,0.25,0.5,0,1.946607909,4
31002888,1,0,1,0,0,0,0,1
31002890,1,0,1,0,1,0,2.24E-16,2
31002891,2,0.333333333,0.666666667,0.166666667,0.333333333,0.166666667,1.977559954,6
31002893,1,0.25,0.75,0,0.75,0,1.640182514,4
31002894,2,0,1,0,0.6,0.2,1.117139204,5
31002895,1,0,0.75,0.25,0.25,0,1.498786727,4
31002896,2,0.375,0.5,0.375,0.5,0,2.244430396,8
31002897,1,0.2,0.6,0.4,0.4,0,2.069805296,5
31002899,2,0,1,0,0.333333333,0.333333333,1.034388151,3
31002900,1,0.333333333,0,1,0,0,1.207905126,3
31002902,1,0,1,0,1,0,0,1
31002903,1,0.428571429,0.285714286,0.571428571,0.285714286,0,2.158824768,7
31002904,1,0,1,0,1,0,2.24E-16,2
31002906,2,0,1,0,0.666666667,0.333333333,1.034388151,3
31002909,2,0,1,0,0.333333333,0.333333333,1.034388151,6
31002913,1,0,1,0,0.666666667,0,1.034388151,3
31002914,1,0,1,0,0.666666667,0,1.034388151,3
31002917,1,1,0,1,0,0,0,1
31002920,1,0.333333333,0.666666667,0.333333333,0,0.333333333,1.764914583,3
31002921,1,0,1,0,1,0,0,1
31002923,1,0,1,0,0,0,0,1
31002926,1,1,0,1,0,0,0,1
31002929,1,1,0,1,0,0,0,1
31002930,1,1,0,1,0,0,0,1
31002933,1,0,1,0,1,0,0,1
31002934,1,0,1,0,0.5,0,1.16368667,2
31002935,1,0,1,0,0.666666667,0,1.034388151,3
31002937,2,0,1,0,0.5,0.25,1.16368667,4
31002939,1,0.25,0.75,0,0.75,0,1.640182514,4
31002940,1,0.4,0.6,0.4,0.6,0,2.209354375,5
31002941,2,0.333333333,0.666666667,0.333333333,0.333333333,0.166666667,2.110824181,6
31002942,2,0.428571429,0.571428571,0.428571429,0.285714286,0.142857143,2.215187378,7
31002944,2,0,1,0,0.5,0.166666667,1.16368667,6
31002945,2,0,1,0,0.5,0.166666667,1.16368667,6
31002946,1,0,1,0,0.5,0.5,1.16368667,2
31002947,1,0,1,0,1,0,0,1
31002948,2,0,1,0,0.5,0.166666667,1.16368667,6
31002949,2,0,1,0,0.5,0.166666667,1.16368667,6
31002950,2,0,1,0,0.5,0.166666667,1.16368667,6
31002951,1,0,1,0,0.333333333,0.333333333,1.034388151,3
31002952,2,0,1,0,0.6,0.2,1.117139204,5
31002953,1,0,1,0,0.5,0.5,1.16368667,2
31002954,2,0.25,0.75,0.125,0.375,0.25,1.81540852,8
31002955,2,0,1,0,0.6,0.2,1.117139204,5
31002956,2,0.166666667,0.833333333,0.166666667,0.333333333,0.166666667,1.638644961,6
31002957,2,0,1,0,0.5,0.5,1.16368667,2
31002958,1,0,1,0,1,0,0,1
31002960,1,0,1,0,1,0,0,1
31002961,1,0.333333333,0.666666667,0,0.333333333,0.333333333,1.814731374,3
31002962,1,0,1,0,1,0,0,1
31002963,2,0,1,0,0.333333333,0.166666667,1.034388151,6
31002964,1,0,1,0,0.666666667,0.333333333,1.034388151,3
31002971,1,1,0,0,1,0,0,1
31002973,1,1,0,1,0,0,0,1
31002974,2,0.2,0.8,0.2,0.3,0.1,1.723007589,10
31002975,2,0.375,0.625,0.375,0.25,0.125,2.129101819,8
31002976,1,0,1,0,1,0,0,1
31002979,2,0.375,0.625,0.25,0.25,0.25,2.040941594,8
31002980,1,0,1,0,0,0,0,1
31002982,1,0.4,0.6,0.2,0.6,0,2.119584394,5
31002983,1,0,1,0,1,0,0,1
31002985,1,0.5,0.5,0.5,0.5,0,2.301410807,2
31002986,1,0.666666667,0.333333333,0.666666667,0.333333333,0,2.045698495,3
31002988,2,0.428571429,0.571428571,0.428571429,0.142857143,0.142857143,2.100655608,7
31002989,1,0.2,0.8,0,0.6,0.2,1.64688687,5
31002990,1,0.166666667,0.5,0.333333333,0,0.333333333,1.634119233,6
31002991,1,0.333333333,0.166666667,0.833333333,0,0,1.567763285,6
31002992,2,0.333333333,0.666666667,0.333333333,0,0.166666667,1.764914583,6
31002993,2,0.142857143,0.714285714,0.285714286,0.285714286,0.142857143,1.796648241,7
31002994,2,0.111111111,0.777777778,0.111111111,0.333333333,0.111111111,1.554669994,9
31002995,2,0.428571429,0.571428571,0.285714286,0.285714286,0.142857143,2.149485045,7
31002996,1,0,1,0,1,0,0,1
31002997,1,0.2,0.4,0.6,0,0.2,1.732526538,5
31002999,2,0,0.666666667,0.333333333,0.333333333,0.333333333,1.715266654,3
31003000,2,0,1,0,0.5,0.166666667,1.16368667,6
31003001,2,0.222222222,0.777777778,0.222222222,0.222222222,0.111111111,1.7116776,9
31003002,1,0.222222222,0.555555556,0.444444444,0.111111111,0.111111111,1.900222888,9
31003003,2,0.222222222,0.777777778,0.222222222,0.111111111,0.222222222,1.551704635,9
31003004,1,0,1,0,1,0,1.31E-15,2
31003005,1,0.25,0.5,0.5,0,0.25,1.824414398,4
31003007,2,0.2,0.8,0.2,0.2,0.2,1.599334428,5
31003008,1,1,0,1,0,0,9.60E-16,2
31003009,2,0.375,0.5,0.5,0.125,0.125,2.078408222,8
31003010,1,0.25,0.25,0.75,0.25,0,1.852270868,4
31003011,2,0.142857143,0.571428571,0.428571429,0.285714286,0.142857143,1.960720835,7
31003013,2,0.222222222,0.777777778,0.111111111,0.444444444,0.222222222,1.780550744,9
31003014,2,0,1,0,0.6,0.2,1.117139204,5
31003015,2,0.25,0.75,0.125,0.5,0.125,1.859464826,8
31003016,1,0.25,0.25,0.5,0,0.25,1.749568438,4
31003017,2,0.125,0.875,0.125,0.25,0.25,1.372073373,8
31003018,2,0.25,0.666666667,0.25,0.25,0.166666667,1.890561538,12
31003019,2,0.181818182,0.727272727,0.090909091,0.363636364,0.181818182,1.710818761,11
31003020,1,1,0,1,0,0,0,1
31003021,2,0,1,0,0.4,0.4,1.117139204,5
31003342,1,0,1,0,1,0,2.24E-16,2
31003351,1,0,1,0,0,1,0,1
31003355,1,0,1,0,1,0,2.24E-16,2
31003359,2,0.142857143,0.857142857,0,0.571428571,0.285714286,1.514930692,7
31003361,1,0,1,0,1,0,0,1
31003362,1,0,1,0,1,0,0,1
31003363,1,0,1,0,0,0,0,1
31003379,1,0,1,0,1,0,0,1
31003381,1,0,1,0,0.6,0,1.117139204,5
31003585,1,0,0.5,0.333333333,0.166666667,0.333333333,1.606571078,6
31003586,2,0.111111111,0.444444444,0.444444444,0.111111111,0.222222222,1.753979097,9
31003587,2,0.181818182,0.545454545,0.363636364,0.181818182,0.181818182,1.894632695,11
31003588,2,0.285714286,0.714285714,0.142857143,0.285714286,0.142857143,1.82561029,7
31003590,1,0,1,0,0.333333333,0.333333333,1.034388151,3
31003592,1,0,1,0,0.5,0.25,1.16368667,4
31003593,1,0.5,0.5,0,0.5,0.5,2.041572796,2
31003594,1,0.5,0.5,0.5,0,0.5,1.985528906,4
31003595,2,0.333333333,0.666666667,0.166666667,0.5,0.166666667,2.039336905,6
31003596,2,0,1,0,0.4,0.2,1.117139204,5
31003597,2,0.4,0.6,0.4,0,0.2,1.90610775,5
31003598,2,0.285714286,0.714285714,0.285714286,0,0.428571429,1.620839923,7
31003602,1,0,1,0,1,0,2.24E-16,2
31003603,1,0,1,0,1,0,2.24E-16,2
31003604,1,0,1,0,1,0,1.19E-15,3
31003605,1,0,1,0,1,0,2.24E-16,2
31003606,2,0,1,0,0.6,0.2,1.117139204,5
31003607,1,0,1,0,1,0,2.24E-16,2
31003608,2,0.375,0.375,0.375,0.25,0.125,2.14238745,8
31003609,2,0.25,0.75,0.25,0.25,0.25,1.836026124,4
31003613,1,0,1,0,0.333333333,0,1.034388151,3
31003616,1,0,1,0,1,0,1.19E-15,3
31003617,1,0,1,0,0.5,0,1.16368667,4
31003618,1,0,1,0,0.666666667,0,1.034388151,3
31003620,1,0,0.5,0.5,0.5,0,1.857390856,2
31003624,2,0,1,0,0.4,0.2,1.117139204,5
31003626,1,0,1,0,1,0,2.24E-16,2
31003629,1,0,1,0,0.5,0,1.16368667,2
31003630,1,0,1,0,1,0,0,1
31003631,1,0,1,0,0.5,0,1.16368667,2
31003632,1,0,1,0,0.5,0,1.16368667,2
31003633,1,0,1,0,0.5,0,1.16368667,2
31003635,1,0,1,0,0.5,0,1.16368667,2
31003639,1,0.4,0.2,0.8,0,0,1.696600715,5
31003642,1,0,0,1,0,0,0,1
31003643,1,0.5,0,1,0,0,1.358893266,4
31003644,1,1,0,1,0,0,0,1
31003646,1,0.333333333,0,1,0,0,1.207905126,3
31003648,1,0,1,0,1,0,0,1
31003652,1,0,1,0,1,0,0,1
31003653,1,0,1,0,0,1,0,1
31003655,2,0.166666667,0.833333333,0.166666667,0.166666667,0.333333333,1.408285669,6
31003658,1,0,1,0,1,0,0,1
31003659,1,0.5,0.5,0.5,0,0,1.985528906,2
31003660,1,0,1,0,0.5,0.5,1.16368667,2
31003662,1,0,1,0,1,0,2.24E-16,2
31003664,1,0,1,0,1,0,0,1
31003665,2,0,1,0,0.25,0.25,0.872765003,4
31003666,1,0.5,0.5,0.5,0.5,0,2.301410807,2
31003668,1,0,1,0,1,0,0,1
31003669,1,0,1,0,0.5,0.25,1.16368667,4
31003670,2,0.142857143,0.857142857,0,0.571428571,0.285714286,1.514930692,7
31003671,1,0.5,0.5,0,0.5,0.5,2.041572796,2
31003672,1,0.333333333,0.666666667,0,0.666666667,0.333333333,1.880323943,3
31003673,2,0,1,0,0.5,0.25,1.16368667,4
31003674,2,0,1,0,0.4,0.2,1.117139204,5
31003675,2,0,1,0,0.75,0.25,0.872765003,4
31003676,2,0,1,0,0.666666667,0.333333333,1.034388151,3
31003677,2,0,1,0,0.75,0.25,0.872765003,4
31003678,1,0.333333333,0.666666667,0.333333333,0.666666667,0,2.045698495,3
31003679,2,0,1,0,0.6,0.2,1.117139204,5
31003680,1,0,1,0,1,0,0,1
31003681,1,0,1,0,1,0,0,1
31003682,1,0,1,0,0.666666667,0,1.034388151,3
31003683,1,0,1,0,1,0,1.45E-15,2
31003684,1,0,1,0,1,0,0,1
31003685,1,0,1,0,1,0,0,1
31003686,2,0,1,0,0.5,0.333333333,1.16368667,6
31003689,2,0,1,0,0.75,0.25,0.872765003,4
31003690,2,0,1,0,0.75,0.25,0.872765003,4
31003691,1,0,1,0,0,0,0,1
31003693,1,0,1,0,0,1,0,1
31003694,2,0,1,0,0.5,0.5,1.16368667,4
31003696,1,0,0,0,1,0,0,1
31003697,1,0.333333333,0.333333333,0.666666667,0,0.166666667,1.836265256,6
31003698,2,0.166666667,0.833333333,0.166666667,0.166666667,0.333333333,1.408285669,6
31003701,1,0,1,0,0,1,0,1
31003702,2,0.142857143,0.857142857,0.142857143,0.285714286,0.285714286,1.496781307,7
31003703,2,0,0.875,0.125,0.375,0.125,1.369464839,8
31003705,2,0.166666667,0.833333333,0.166666667,0.333333333,0.166666667,1.638644961,6
31003707,2,0.166666667,0.833333333,0,0.5,0.333333333,1.580589032,6
31003708,2,0,1,0,0.75,0.25,0.872765003,4
31003710,2,0.142857143,0.857142857,0,0.428571429,0.142857143,1.488863899,7
31003711,1,0,1,0,1,0,2.24E-16,2
31003712,1,0,1,0,1,0,0,1
31003713,1,0.5,0.5,0,0.5,0.5,2.041572796,2
31003714,1,0.333333333,0.666666667,0.333333333,0.333333333,0,2.110824181,6
31003716,2,0.6,0.4,0.4,0.2,0.2,2.146503543,5
31003719,1,0.333333333,0.666666667,0.333333333,0.666666667,0,2.045698495,3
31003723,2,0.111111111,0.555555556,0.333333333,0.222222222,0.222222222,1.82060952,9
31003724,1,0.5,0.25,0.75,0,0.25,1.795147733,4
31003726,1,0.25,0.75,0.25,0.25,0.25,1.836026124,4
31003729,1,0.5,0.25,0.75,0.25,0,2.009397408,4
31003731,1,0,1,0,0.5,0,1.16368667,2
31003732,1,0,1,0,1,0,2.24E-16,2
31003735,1,0.333333333,0.666666667,0.333333333,0.666666667,0,2.045698495,3
31003737,1,0,1,0,1,0,0,1
31003740,1,0.5,0.5,0.5,0,0.5,1.985528906,2
31003741,1,0.4,0.2,0.8,0,0,1.696600715,5
31003742,1,0,0,0.5,0.5,0,1.5756392,2
31003743,2,0.375,0.5,0.5,0.125,0.125,2.078408222,8
31003744,2,0.285714286,0.428571429,0.571428571,0.142857143,0.142857143,2.011230618,7
31003745,1,0.5,0,1,0,0,1.358893266,4
31003746,1,0.4,0,0.8,0,0,1.544452957,5
31003747,1,0,1,0,0,0,0,1
31003748,1,0.25,0,0.75,0,0,1.390874819,4
31003750,1,1,0,0,1,0,0,1
31003751,1,0,1,0,1,0,0,1
31003752,1,0,1,0,1,0,0,1
31003753,1,0,1,0,0.333333333,0.333333333,1.034388151,3
31003754,2,0.25,0.75,0.25,0.25,0.25,1.836026124,4
31003755,2,0.2,0.8,0.2,0.2,0.4,1.599334428,5
31003756,2,0.222222222,0.777777778,0.222222222,0.111111111,0.333333333,1.551704635,9
31003757,1,0,1,0,1,0,2.24E-16,2
31003759,1,0,1,0,0.333333333,0.666666667,1.034388151,3
31003761,1,0,1,0,1,0,0,1
31004053,1,0,1,0,1,0,1.19E-15,3
31004054,1,0,1,0,0.666666667,0,1.034388151,3
31004060,2,0.166666667,0.833333333,0,0.666666667,0.166666667,1.511467596,6
31004061,1,0.25,0.75,0,0.75,0.25,1.640182514,4
31004071,1,0.25,0.75,0,0.75,0,1.640182514,4
31004074,1,0,1,0,0.666666667,0.333333333,1.034388151,3
31004087,1,1,0,0,1,0,0,1
31004090,1,0,1,0,0.75,0,0.872765003,4
31004091,2,0.166666667,0.833333333,0,0.5,0.333333333,1.580589032,6
31004092,2,0,1,0,0.666666667,0.333333333,1.034388151,3
31004293,1,0.333333333,0.333333333,0.666666667,0,0.333333333,1.836265256,3
31004294,2,0.285714286,0.428571429,0.428571429,0.285714286,0.142857143,2.135577404,7
31004295,2,0.333333333,0.555555556,0.222222222,0.333333333,0.111111111,2.078151298,9
31004298,1,0,1,0,1,0,0,1
31004299,1,0.25,0.75,0,0.5,0.25,1.768894015,4
31004300,1,0.5,0.5,0,0.5,0,2.041572796,2
31004301,2,0.4,0.6,0.2,0.4,0.2,2.12773844,5
31004302,1,0.333333333,0.666666667,0,0.333333333,0.666666667,1.814731374,3
31004303,1,1,0,0,1,0,0,1
31004304,1,0.5,0.5,0.5,0.5,0,2.301410807,2
31004306,2,0.166666667,0.833333333,0,0.166666667,0.333333333,1.134207109,6
31004307,2,0.4,0.6,0.4,0,0.4,1.90610775,5
31004308,2,0.285714286,0.714285714,0.142857143,0.571428571,0.142857143,1.92673449,7
31004309,1,0,1,0,1,0,0,1
31004310,1,0.5,0.5,0,0.5,0.5,2.041572796,2
31004312,2,0,1,0,0.75,0,0.872765003,4
31004313,2,0,1,0,0.75,0.25,0.872765003,4
31004314,1,0,1,0,1,0,2.24E-16,2
31004315,1,0,1,0,0,1,0,1
31004316,2,0,1,0,0.4,0.2,1.117139204,5
31004317,1,0,0.625,0.25,0.125,0.125,1.435626501,8
31004318,2,0.2,0.6,0.4,0.2,0.2,1.936468792,5
31004319,1,0,1,0,0.333333333,0.333333333,1.034388151,3
31004320,2,0,0.714285714,0.142857143,0.285714286,0.142857143,1.472270401,7
31004322,2,0,1,0,0.5,0.25,1.16368667,4
31004323,1,0.166666667,0.5,0.5,0,0.166666667,1.712056899,6
31004324,1,0,1,0,1,0,1.45E-15,2
31004325,2,0.25,0.75,0.25,0.25,0.125,1.836026124,8
31004326,1,0,1,0,1,0,0,1
31004329,1,0,1,0,1,0,0,1
31004330,1,0,1,0,0.2,0.6,0.744759469,5
31004331,1,0,1,0,1,0,1.31E-15,2
31004332,1,0,1,0,1,0,0,1
31004334,1,0,1,0,0.333333333,0.666666667,1.034388151,3
31004335,1,0.166666667,0.833333333,0,0.5,0.166666667,1.580589032,6
31004338,1,0,1,0,0.666666667,0,1.034388151,3
31004340,2,0,1,0,0.5,0.5,1.16368667,4
31004341,1,0,1,0,1,0,0,1
31004344,1,0,1,0,0.5,0.5,1.16368667,2
31004348,1,1,0,0,1,0,0,1
31004349,1,0,1,0,0,1,0,1
31004351,1,0,1,0,0.5,0,1.16368667,2
31004352,1,0,1,0,0,0,0,1
31004353,1,0.333333333,0.666666667,0,0.666666667,0,1.880323943,3
31004355,1,1,0,1,0,0,0,1
31004357,2,0.375,0.375,0.5,0.125,0.125,2.05294502,8
31004358,1,0,1,0,0,1,0,1
31004363,1,0.5,0.5,0,0.5,0,2.041572796,2
31004364,1,0.5,0.166666667,0.666666667,0.166666667,0.166666667,1.970443716,6
31004366,2,0.2,0.8,0,0.6,0.2,1.64688687,5
31004367,1,0.666666667,0.333333333,0.333333333,0.666666667,0,2.128406561,3
31004369,1,0,1,0,1,0,2.24E-16,2
31004370,1,0,1,0,0.5,0,1.16368667,2
31004371,1,0,1,0,0.666666667,0,1.034388151,3
31004373,1,0,1,0,1,0,0,1
31004374,2,0.333333333,0.666666667,0.166666667,0.5,0.166666667,2.039336905,6
31004375,1,0.375,0.25,0.5,0.125,0.125,2.001423805,8
31004376,2,0.142857143,0.857142857,0,0.571428571,0.142857143,1.514930692,7
31004377,2,0.142857143,0.857142857,0,0.571428571,0.142857143,1.514930692,7
31004378,1,0.333333333,0.666666667,0,1,0,1.491070458,3
31004379,2,0.25,0.75,0,0.75,0.25,1.640182514,4
31004380,2,0.25,0.75,0,1,0,1.258090699,4
31004382,1,0.333333333,0.666666667,0,1,0,1.491070458,3
31004383,1,0,1,0,1,0,1.19E-15,3
31004384,2,0.166666667,0.833333333,0,0.666666667,0.166666667,1.511467596,6
31004385,2,0,0.857142857,0.142857143,0.285714286,0.285714286,1.3039813,7
31004386,1,0.333333333,0.666666667,0,1,0,1.491070458,3
31004387,2,0.125,0.875,0,0.5,0.25,1.477049535,8
31004388,2,0,1,0,0.666666667,0.333333333,1.034388151,3
