PLOT,SUBSTRATE,AVGDEPTH,MINDEPTH,MAXDEPTH,RANGEDEPTH,TURBIDITY,TEMPERATURE,OXYGEN,TSS,PH,CHLOROPHYLL,VELOCITY,TOTALP,TOTALN,N_PRatio,QMEAN,QMIN,QMAX,QGROWING,CONNECTIVITY,EXCEEDANCE,WINDFETCH,logN,logP,DEPTH_PRED,DEPTH_RESID,CONNECTIVITY_PRED,CONNECTIVITY_RESID,VELOCITY_PRED,VELOCITY_RESID,EXCEEDANCE_PRED,EXCEEDANCE_RESID,logN_PRED,logN_RESID,logP_PRED,logP_RESID,TSS_PRED,TSS_RESID,CHLOROPHYLL_PRED,CHLOROPHYLL_RESID,TEMPERATURE_PRED,TEMPERATURE_RESID
31001868,3,1.4,1.4,1.4,0,20,23.7,6.8,29.6,8.3,26.1,0.33,0.178,2.043,11.478,575,119,2022,611,15.27,150.2,0.23,0.3,-0.7,1.3,0.1,19.5,-4.2,0.2,0.2,88,62.2,0.329,-0.019,-0.742,-0.008,41.2,-11.6,32.5,-6.4,23.2,0.5
31001888,6,1.7,1.7,1.7,0,13,23,6.5,40,8.2,29.6,0.33,0.196,2.341,11.944,575,119,2022,611,16.41,227.33,0.34,0.4,-0.7,1.6,0.1,17,-0.6,0.3,0,176.2,51.2,0.367,0.002,-0.710,0.002,40.2,-0.2,29.6,0,23,0
31002007,1,3.2,3.2,3.2,0,25,23.2,6.7,27.9,8.3,29,0.03,0.183,2.234,12.208,575,119,2022,611,14.76,118,0.31,0.3,-0.7,2.4,0.8,18.4,-3.6,0,0,138.8,-20.8,0.348,0.002,-0.730,-0.007,31.4,-3.5,30.9,-1.9,23.1,0.1
31002028,1,0.2,0.2,0.2,0,16,26.8,10,6.6,8.5,41.3,0.01,0.170,1.880,11.059,575,119,2022,611,9.73,0,0.17,0.3,-0.8,0.6,-0.4,17.3,-7.5,0,0,16.6,-16.6,0.313,-0.039,-0.750,-0.020,24.6,-18,38.2,3.1,25.7,1.1
31002031,1,1.0,1,1,0,32,22.7,6.4,50.3,8.2,30.3,0.02,0.221,2.079,9.407,575,119,2022,611,1.9,0,0.16,0.3,-0.7,1.4,-0.4,5.8,-3.9,0.1,-0.1,28.5,-28.5,0.333,-0.016,-0.629,-0.026,48,2.3,32.3,-2,22.6,0.1
31002033,1,0.7,0.7,0.7,0,84,20.1,6.3,101.9,8.1,110.2,0.03,0.413,2.189,5.300,575,119,2022,611,26.88,55.2,0.68,0.3,-0.4,1,-0.3,28.6,-1.7,0,0,60.3,-5.1,0.326,0.014,-0.425,0.041,95.2,6.7,91.7,18.5,21,-0.9
31002034,1,0.9,0.9,0.9,0,84,20.1,6.3,101.9,8.1,110.2,0.03,0.413,2.189,5.300,575,119,2022,611,30.8,67,0.56,0.3,-0.4,1,-0.1,32.8,-2,0,0,66.1,0.9,0.335,0.005,-0.414,0.030,101.1,0.8,98.7,11.5,20.3,-0.2
31002036,1,1.2,1.2,1.2,0,110,19.8,6.1,115.9,8.1,98.3,0.01,0.406,2.243,5.525,575,119,2022,611,39.38,100.5,0.65,0.4,-0.4,1.1,0.1,42.8,-3.4,0,0,97.8,2.7,0.347,0.004,-0.412,0.021,111.7,4.2,95.6,2.7,19.9,-0.1
31002037,1,0.9,0.9,0.9,0,110,19.8,6.1,115.9,8.1,98.3,0.01,0.406,2.243,5.525,575,119,2022,611,44.67,89.25,0.65,0.4,-0.4,1,-0.1,44.6,0.1,0,0,91.7,-2.5,0.349,0.002,-0.413,0.022,110.6,5.3,95.3,3,19.9,-0.1
31002038,1,1.2,1.2,1.2,0,110,19.8,6.1,115.9,8.1,98.3,0.01,0.406,2.243,5.525,575,119,2022,611,54.99,99.25,0.71,0.4,-0.4,1.1,0.1,51.6,3.4,0,0,98,1.3,0.343,0.008,-0.419,0.027,108.2,7.7,94.3,3.9,20,-0.2
31002039,1,1.1,1.1,1.1,0,110,19.8,6.1,115.9,8.1,98.3,0.01,0.406,2.243,5.525,575,119,2022,611,54.15,93.8,0.74,0.4,-0.4,1.1,0,50,4.1,0,0,96.8,-3,0.340,0.011,-0.425,0.033,104.9,11,93.7,4.5,20.1,-0.3
31002041,1,0.8,0.8,0.8,0,42,22.5,6.7,30.9,8.2,27.8,0,0.198,1.589,8.025,575,119,2022,611,44.04,98.75,0.9,0.2,-0.7,0.9,-0.1,44.5,-0.5,0,0,94.9,3.9,0.244,-0.043,-0.614,-0.090,46.9,-16,45.6,-17.8,22,0.5
31002043,1,0.9,0.9,0.9,0,110,19.8,6.1,115.9,8.1,98.3,0.01,0.406,2.243,5.525,575,119,2022,611,56.66,78.75,0.69,0.4,-0.4,1,-0.1,51.4,5.3,0,0,79.9,-1.1,0.349,0.002,-0.449,0.057,98,17.9,88.2,10.1,20.1,-0.3
31002044,1,0.8,0.8,0.8,0,42,22.5,6.7,30.9,8.2,27.8,0,0.198,1.589,8.025,575,119,2022,611,38.56,62,0.73,0.2,-0.7,1,-0.2,42,-3.5,0,0,83.8,-21.8,0.301,-0.100,-0.548,-0.156,69.6,-38.7,56.4,-28.6,21.7,0.8
31002045,1,0.7,0.7,0.7,0,42,22.5,6.7,30.9,8.2,27.8,0,0.198,1.589,8.025,575,119,2022,611,38.31,59.2,0.64,0.2,-0.7,0.9,-0.2,40.8,-2.5,0,0,62.1,-2.9,0.305,-0.104,-0.534,-0.170,74,-43.1,57.6,-29.8,21.7,0.8
31002046,1,0.9,0.9,0.9,0,55,22.3,6.7,79.6,8.2,27.1,0.03,0.215,2.269,10.553,575,119,2022,611,27.22,44,0.84,0.4,-0.7,0.9,0,26.8,0.4,0,0,33.6,10.4,0.356,-0.001,-0.662,-0.006,77.7,1.9,28,-0.8,22.3,0
31002048,1,0.7,0.7,0.7,0,55,22.3,6.7,79.6,8.2,27.1,0.03,0.215,2.269,10.553,575,119,2022,611,33.38,16.5,0.88,0.4,-0.7,0.8,-0.1,31,2.4,0,0,16.6,-0.1,0.357,-0.001,-0.660,-0.008,78.7,0.9,28.3,-1.2,22.3,0
31002049,2,0.5,0.5,0.5,0,55,22.3,6.7,79.6,8.2,27.1,0.03,0.215,2.269,10.553,575,119,2022,611,29.22,0,0.89,0.4,-0.7,0.8,-0.3,30.7,-1.5,0,0,14,-14,0.357,-0.001,-0.660,-0.007,78.6,1,28.3,-1.2,22.3,0
31002050,1,1.2,1.2,1.2,0,56,22.5,6.1,83,8.2,24.1,0.03,0.250,2.503,10.012,575,119,2022,611,56.6,67.6,1.23,0.4,-0.6,1.1,0.1,50.7,5.9,0,0,57.1,10.5,0.384,0.014,-0.662,0.060,76.8,6.2,28,-3.9,22.5,0
31002052,1,0.7,0.7,0.7,0,84,20.1,6.3,101.9,8.1,110.2,0.03,0.413,2.189,5.300,575,119,2022,611,18.72,41.5,0.37,0.3,-0.4,0.8,-0.1,20.1,-1.4,0,0,47.2,-5.7,0.337,0.004,-0.388,0.004,94.5,7.4,105.7,4.6,20.2,-0.1
31002053,1,0.7,0.7,0.7,0,84,20.1,6.3,101.9,8.1,110.2,0.03,0.413,2.189,5.300,575,119,2022,611,25.72,44.67,0.47,0.3,-0.4,0.7,0,27.9,-2.2,0,0,50.1,-5.5,0.337,0.003,-0.386,0.002,100.2,1.7,107.3,2.9,20.1,0
31002055,1,0.6,0.6,0.6,0,84,20.1,6.3,101.9,8.1,110.2,0.03,0.413,2.189,5.300,575,119,2022,611,34.63,62,0.79,0.3,-0.4,0.7,-0.1,35,-0.4,0,0,65.2,-3.2,0.330,0.011,-0.389,0.005,98.2,3.7,106,4.2,20.2,-0.1
31002056,1,0.8,0.8,0.8,0,84,20.1,6.3,101.9,8.1,110.2,0.03,0.413,2.189,5.300,575,119,2022,611,47.02,79.67,0.74,0.3,-0.4,0.8,0,46,1,0,0,79.2,0.5,0.336,0.004,-0.388,0.004,101,0.9,105.8,4.4,20.1,0
31002057,1,0.5,0.5,0.5,0,110,19.8,6.1,115.9,8.1,98.3,0.01,0.406,2.243,5.525,575,119,2022,611,51.79,42.2,0.67,0.4,-0.4,0.7,-0.2,45.1,6.7,0,0,58.5,-16.3,0.345,0.006,-0.409,0.018,107.5,8.4,95,3.3,20,-0.2
31002058,1,0.6,0.6,0.6,0,110,19.8,6.1,115.9,8.1,98.3,0.01,0.406,2.243,5.525,575,119,2022,611,56.91,42.33,0.67,0.4,-0.4,0.8,-0.2,53.8,3.1,0,0,54.9,-12.5,0.349,0.002,-0.407,0.016,107.8,8.1,95.3,3,19.9,-0.1
31002060,1,2.1,2.1,2.1,0,110,19.8,6.1,115.9,8.1,98.3,0.01,0.406,2.243,5.525,575,119,2022,611,20.54,183.75,0.38,0.4,-0.4,2.4,-0.3,21.7,-1.2,0,0,202,-18.3,0.352,-0.001,-0.475,0.083,103.7,12.2,75.7,22.6,20.5,-0.7
31002061,1,3.9,3.9,3.9,0,110,19.8,6.1,115.9,8.1,98.3,0.01,0.406,2.243,5.525,575,119,2022,611,23.59,294.6,0.4,0.4,-0.4,2.9,1,22.6,1,0,0,226.8,67.8,0.353,-0.002,-0.473,0.081,105.9,10,78.9,19.3,20.2,-0.4
31002065,1,1.5,1.5,1.5,0,32,22.7,6.4,50.3,8.2,30.3,0.02,0.221,2.079,9.407,575,119,2022,611,31.69,58,0.33,0.3,-0.7,1.4,0.1,30.4,1.3,0,0,53.2,4.8,0.319,-0.001,-0.658,0.003,51,-0.7,30.9,-0.6,22.7,0
31002067,1,0.9,0.9,0.9,0,39,23.7,6.7,50.3,8.3,31.1,0.07,0.199,2.234,11.226,575,119,2022,611,5.54,7,0.19,0.3,-0.7,1,-0.1,10.2,-4.6,0.1,0,16.9,-9.9,0.340,0.009,-0.692,-0.009,50.7,-0.4,31.8,-0.7,23.4,0.3
31002068,1,0.8,0.8,0.8,0,39,23.7,6.7,50.3,8.3,31.1,0.07,0.199,2.234,11.226,575,119,2022,611,22.66,0,0.38,0.3,-0.7,1,-0.2,21.7,1,0.1,0,40.5,-40.5,0.345,0.004,-0.699,-0.002,52.3,-2,31.6,-0.5,23.5,0.2
31002070,1,1.0,1,1,0,39,23.7,6.7,50.3,8.3,31.1,0.07,0.199,2.234,11.226,575,119,2022,611,34.41,28.8,0.36,0.3,-0.7,1.2,-0.2,23.5,10.9,0.1,0,66.5,-37.7,0.348,0.001,-0.696,-0.005,52.7,-2.4,33.1,-1.9,23.4,0.3
31002071,1,1.1,1.1,1.1,0,49,20.8,6.6,19.9,8.2,92.4,0.01,0.369,2.329,6.312,575,119,2022,611,16.43,107.5,0.29,0.4,-0.4,1.1,0,18.5,-2,0,0,112.1,-4.6,0.350,0.018,-0.517,0.084,33.7,-13.8,71.1,21.3,21.6,-0.8
31002072,1,1.1,1.1,1.1,0,49,20.8,6.6,19.9,8.2,92.4,0.01,0.369,2.329,6.312,575,119,2022,611,12.84,115,0.26,0.4,-0.4,1.3,-0.2,15.5,-2.7,0.1,-0.1,94.4,20.6,0.332,0.035,-0.677,0.244,48,-28.1,46.7,45.7,22.3,-1.5
31002073,1,1.4,1.4,1.4,0,32,22.7,6.4,50.3,8.2,30.3,0.02,0.221,2.079,9.407,575,119,2022,611,30.85,65.67,0.33,0.3,-0.7,1.4,0,28.6,2.2,0,0,60.1,5.6,0.319,-0.001,-0.663,0.007,49.9,0.4,30.9,-0.6,22.7,0
31002075,1,1.5,1.5,1.5,0,32,22.7,6.4,50.3,8.2,30.3,0.02,0.221,2.079,9.407,575,119,2022,611,23.09,54.8,0.3,0.3,-0.7,1.4,0.1,22.9,0.2,0,0,50.2,4.6,0.318,0.000,-0.662,0.006,50.1,0.2,30.3,0,22.7,0
31002077,1,1.4,1.4,1.4,0,32,22.7,6.4,50.3,8.2,30.3,0.02,0.221,2.079,9.407,575,119,2022,611,21.76,35.17,0.26,0.3,-0.7,1.4,0,21.8,-0.1,0,0,36.8,-1.6,0.319,-0.001,-0.665,0.009,50.5,-0.2,30.3,0,22.7,0
31002080,1,1.7,1.7,1.7,0,34,23.7,7,53.6,8.3,30.5,0.05,0.189,1.993,10.545,575,119,2022,611,32.77,101.25,0.4,0.3,-0.7,1.6,0.1,32.5,0.3,0.1,0,86.7,14.6,0.321,-0.022,-0.706,-0.018,54.9,-1.3,33.6,-3.2,23.3,0.4
31002081,1,1.3,1.3,1.3,0,39,23.7,6.7,50.3,8.3,31.1,0.07,0.199,2.234,11.226,575,119,2022,611,22.71,69,0.4,0.3,-0.7,1.3,0,24.5,-1.8,0.1,0,65.5,3.5,0.347,0.002,-0.701,-0.001,51.3,-1,31.3,-0.1,23.7,0
31002082,1,1.1,1.1,1.1,0,39,23.7,6.7,50.3,8.3,31.1,0.07,0.199,2.234,11.226,575,119,2022,611,26.77,39.8,0.42,0.3,-0.7,1.3,-0.2,29.9,-3.2,0.1,0,52.2,-12.4,0.346,0.003,-0.703,0.001,52,-1.7,31,0.1,23.7,0
31002084,1,1.3,1.3,1.3,0,39,23.7,6.7,50.3,8.3,31.1,0.07,0.199,2.234,11.226,575,119,2022,611,26.39,64.8,0.41,0.3,-0.7,1.3,0,29.2,-2.8,0.1,0,61.7,3.1,0.350,-0.001,-0.697,-0.004,51,-0.7,31.2,-0.1,23.7,0
31002085,1,1.6,1.6,1.6,0,39,23.7,6.7,50.3,8.3,31.1,0.07,0.199,2.234,11.226,575,119,2022,611,34.54,81.2,0.41,0.3,-0.7,1.4,0.2,34.1,0.4,0.1,0,71.5,9.7,0.347,0.002,-0.701,6.52627032147191e-05,52.5,-2.2,31.1,0,23.7,0
31002086,4,1.5,1.5,1.5,0,39,23.7,6.7,50.3,8.3,31.1,0.07,0.199,2.234,11.226,575,119,2022,611,32.7,74.2,0.43,0.3,-0.7,1.4,0.1,34.1,-1.4,0.1,0,73.5,0.7,0.351,-0.002,-0.703,0.002,50.9,-0.6,30.9,0.2,23.7,0
31002090,1,1.5,1.5,1.5,0,32,22.7,6.4,50.3,8.2,30.3,0.02,0.221,2.079,9.407,575,119,2022,611,22.77,55,0.3,0.3,-0.7,1.4,0.1,23.8,-1,0,0,53.9,1.1,0.320,-0.002,-0.660,0.004,49.8,0.5,31.3,-1,22.6,0.1
31002094,1,0.8,0.8,0.8,0,34,23.7,7,53.6,8.3,30.5,0.05,0.189,1.993,10.545,575,119,2022,611,36.9,0,0.42,0.3,-0.7,1.6,-0.8,35,1.9,0.1,0,81.8,-81.8,0.342,-0.043,-0.698,-0.026,52.1,1.5,31.8,-1.3,23.4,0.3
31002097,3,1.1,1.1,1.1,0,39,23.7,6.7,50.3,8.3,31.1,0.07,0.199,2.234,11.226,575,119,2022,611,39.15,33.6,0.41,0.3,-0.7,1.2,-0.1,36.9,2.3,0.1,0,52.5,-18.9,0.345,0.005,-0.695,-0.006,52.6,-2.3,32.5,-1.4,23.5,0.2
31002099,1,0.6,0.6,0.6,0,32,22.7,6.4,50.3,8.2,30.3,0.02,0.221,2.079,9.407,575,119,2022,611,19.74,0,0.28,0.3,-0.7,0.6,0,20.8,-1,0,0,2.3,-2.3,0.320,-0.002,-0.662,0.007,50.1,0.2,30.3,0,22.8,-0.1
31002100,1,0.3,0.3,0.3,0,32,22.7,6.4,50.3,8.2,30.3,0.02,0.221,2.079,9.407,575,119,2022,611,22.23,0,0.26,0.3,-0.7,0.5,-0.2,21.9,0.4,0,0,4.9,-4.9,0.320,-0.002,-0.663,0.007,50.2,0.1,30.2,0.1,22.7,0
31002101,1,0.2,0.2,0.2,0,32,22.7,6.4,50.3,8.2,30.3,0.02,0.221,2.079,9.407,575,119,2022,611,25.42,0,0.25,0.3,-0.7,0.5,-0.3,24,1.4,0,0,14.4,-14.4,0.323,-0.005,-0.673,0.018,49.2,1.1,30,0.2,22.9,-0.2
31002109,2,1.2,1.2,1.2,0,8,26.6,7.5,6.7,8.2,22.1,0.03,0.175,2.213,12.646,575,119,2022,611,23.35,83.8,0.67,0.3,-0.8,1.1,0.1,23.8,-0.5,0,0,72.7,11.1,0.334,0.011,-0.766,0.009,7.1,-0.4,23.6,-1.4,26.6,0
31002116,1,3.2,3.2,3.2,0,14,25.7,13.2,8.9,9,87.1,0.03,0.156,1.378,8.833,575,119,2022,611,13.31,300,0.23,0.1,-0.8,2.1,1.1,17.5,-4.2,0,0,222.7,77.3,0.148,-0.009,-0.802,-0.005,9.5,-0.6,86.1,1,25.5,0.2
31002117,3,1.4,1.4,1.4,0,14,25.7,13.2,8.9,9,87.1,0.03,0.156,1.378,8.833,575,119,2022,611,14.67,169,0.19,0.1,-0.8,1.6,-0.2,15.4,-0.8,0,0,177.4,-8.4,0.144,-0.005,-0.801,-0.006,14.4,-5.5,111.2,-24.1,25.2,0.5
31002119,1,1.9,1.9,1.9,0,22,22.7,15.7,35.9,9.1,202.4,0.07,0.161,1.384,8.596,575,119,2022,611,17.37,201.8,0.27,0.1,-0.8,1.5,0.4,18.2,-0.8,0.1,0,163,38.8,0.149,-0.008,-0.789,-0.004,33.5,2.4,165.4,37,23.5,-0.8
31002121,3,0.6,0.6,0.6,0,22,22.7,15.7,35.9,9.1,202.4,0.07,0.161,1.384,8.596,575,119,2022,611,18.19,60.4,0.3,0.1,-0.8,0.9,-0.3,20,-1.8,0.1,0,94,-33.6,0.158,-0.017,-0.789,-0.005,31,4.9,171.1,31.3,23.2,-0.5
31002123,6,1.7,1.7,1.7,0,8,26.6,7.5,6.7,8.2,22.1,0.03,0.175,2.213,12.646,575,119,2022,611,19.46,79.33,0.45,0.3,-0.8,1.8,-0.1,17.8,1.6,0,0,89.6,-10.3,0.226,0.119,-0.853,0.096,6.6,0.1,25.3,-3.2,26.8,-0.2
31002132,3,0.2,0.2,0.2,0,11,24,10.5,16.9,8.9,60.9,0,0.182,1.438,7.901,575,119,2022,611,26.56,34.25,0.57,0.2,-0.7,0.3,-0.1,28,-1.4,0,0,34.7,-0.4,0.158,-0.001,-0.737,-0.003,16.4,0.5,59.6,1.3,24,0
31002139,2,0.1,0.1,0.1,0,11,24,10.5,16.9,8.9,60.9,0,0.182,1.438,7.901,575,119,2022,611,28.14,33,0.49,0.2,-0.7,0.3,-0.2,27.8,0.3,0,0,34.3,-1.3,0.159,-0.001,-0.739,-0.001,16.4,0.5,61.8,-0.8,24.3,-0.3
31002147,1,0.1,0.1,0.1,0,14,26.2,15.4,9.7,9.2,91.5,0.02,0.152,1.510,9.934,575,119,2022,611,13.87,37,0.31,0.2,-0.8,0.3,-0.2,17.9,-4.1,0,0,48.2,-11.2,0.179,0.000,-0.816,-0.002,9.9,-0.2,89.8,1.6,26.2,0
31002160,1,0.9,0.9,0.9,0,22,22.7,15.7,35.9,9.1,202.4,0.07,0.161,1.384,8.596,575,119,2022,611,25.98,81.5,0.35,0.1,-0.8,1,-0.1,21.5,4.5,0,0,96.1,-14.6,0.165,-0.024,-0.749,-0.044,33.6,2.3,117.7,84.7,23.7,-1
31002161,3,0.8,0.8,0.8,0,22,22.7,15.7,35.9,9.1,202.4,0.07,0.161,1.384,8.596,575,119,2022,611,21.66,96.4,0.3,0.1,-0.8,1,-0.2,22,-0.3,0.1,0,105.4,-9,0.167,-0.026,-0.769,-0.024,34.2,1.7,162.4,39.9,23.1,-0.4
31002165,2,0.8,0.8,0.8,0,10,28.7,25,7.8,9.3,52.5,0.03,0.146,1.461,10.007,575,119,2022,611,85.34,102,1.35,0.2,-0.8,0.8,0,75.7,9.6,0,0,94.4,7.6,0.168,-0.004,-0.823,-0.013,7.8,0,51.3,1.2,28.6,0.1
31002166,2,1.0,1,1,0,10,28.7,25,7.8,9.3,52.5,0.03,0.146,1.461,10.007,575,119,2022,611,63.55,112,1.19,0.2,-0.8,0.9,0.1,66.4,-2.8,0,0,107.2,4.8,0.168,-0.004,-0.870,0.035,8.1,-0.3,55.9,-3.4,28.4,0.3
31002167,3,0.6,0.6,0.6,0,12,26.5,11.4,8.1,8.7,55.5,0.1,0.156,1.603,10.276,575,119,2022,611,49.14,88.5,1.12,0.2,-0.8,0.6,0,53.6,-4.5,0.1,0,66.2,22.3,0.187,0.018,-0.817,0.010,7.6,0.5,49.6,5.9,27.9,-1.4
31002170,2,1.2,1.2,1.2,0,10,28.7,25,7.8,9.3,52.5,0.03,0.146,1.461,10.007,575,119,2022,611,76.93,129,1.3,0.2,-0.8,1.1,0.1,74.6,2.4,0,0,120.4,8.6,0.170,-0.005,-0.837,0.001,7.9,-0.1,59.8,-7.3,28,0.7
31002171,2,0.8,0.8,0.8,0,14,25.4,25,8.7,9.2,83.5,0.02,0.152,1.524,10.026,575,119,2022,611,66.95,102,1.22,0.2,-0.8,0.9,-0.1,68.5,-1.6,0,0,108.2,-6.2,0.176,0.007,-0.825,0.007,8.8,-0.1,71.6,11.9,26.7,-1.3
